t_k.nr;t_knavn;t_fnavn;t_sone;k_innbyggere;k_areal;k_ansatte;k_tilskudd;k_språk;k_slagord;f_slagord;k_lat;k_lon;k_lon_decimal;k_lat_decimal;h_id;h_navn;h_operatør;h_type;h_url;h_lat;h_lon
1820;Alstahaug;Nordland;NO4;7 494;188;1800; 295 987,33 ; nøytral ;Et historisk sted med nye muligheter ;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"12° 29' 40,642"" E";"65° 54' 24,263"" N";12,494623;65,90674;32575877;Svukuriset;DNT Oslo og Omegn;betjent;https://ut.no/hytte/10726/svukuriset;62,2214612;12,0150272
5601;Alta;Finnmark;NO4;21 770;3849;5700; 978 256,87 ; bokmål ;;Der drømmer blir virkelighet;"23° 14' 57,764"" E";"69° 59' 0,654"" N";23,249379;69,983515;33786865;Sota Sæter;DNT Oslo og Omegn;betjent;https://ut.no/hytte/sota-saeter;61,8091955;7,7102484
3428;Alvdal;Innlandet;NO1;2 510;942;538; 127 338,00 ; nøytral ;Der det vanskelige er en bagatell og det umulige en utfordring;Eventyrlige muligheter;"10° 30' 28,158"" E";"62° 4' 3,307"" N";10,507822;62,067585;265777706;Lurfjellhytta;Bodø og Omegns Turistforening;ubetjent;https://ut.no/hytte/lurfjellhytta;67,1173422;14,7458448
4631;Alver;Vestland;NO5;30 163;679;7419; 1 152 067,26 ; nynorsk ;;0;"5° 16' 51,195"" E";"60° 40' 17,791"" N";5,280887;60,671609;281920558;Røvollen;DNT Oslo og Omegn;selvbetjent;https://ut.no/hytte/roevollen;62,3505942;12,0493414
1871;Andøy;Nordland;NO4;4 564;656;993; 196 587,91 ; nøytral ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"15° 46' 34,699"" E";"69° 3' 1,925"" N";15,776305;69,050535;287961798;Lille Tømtehytta;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/10780/lille-tmtehytta;60,0513076;10,7612734
3124;Aremark;Østfold;NO1;1 360;319;254; 78 110,23 ; bokmål ;midt i naturen;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"11° 41' 48,653"" E";"59° 12' 52,474"" N";11,696848;59,214576;288156091;Gjendebu;DNT Oslo og Omegn;betjent;https://ut.no/hytte/gjendebu;61,4514077;8,4885665
4203;Arendal;Agder;NO2;46 537;270;10147; 1 452 122,86 ; bokmål ;Varm stolt og utadvendt;0;"8° 45' 50,043"" E";"58° 29' 27,366"" N";8,763901;58,490935;289978936;Hallingskeid Turisthytte;Bergen Turlag;selvbetjent;https://hyttebestilling.dnt.no/hytte/10805;60,6681596;7,2486228
3203;Asker;Akershus;NO1;99 661;377;26649; 3 041 241,15 ; nøytral ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"10° 27' 48,532"" E";"59° 42' 17,090"" N";10,463481;59,704747;290551735;Nedalshytta;Trondhjems Turistforening;betjent;https://ut.no/hytte/nedalshytta;62,97854;12,1019098
4645;Askvoll;Vestland;NO5;2 967;326;552; 155 550,56 ; nynorsk ;rom for eventyr!;0;"5° 9' 54,704"" E";"61° 23' 41,260"" N";5,165196;61,394794;291057219;Rondvassbu;DNT Oslo og Omegn;betjent;https://ut.no/hytte/rondvassbu;61,8787483;9,7963376
4627;Askøy;Vestland;NO5;30 272;101;8416; 977 537,56 ; nøytral ;En kulturkommune i vekst;0;"5° 7' 48,088"" E";"60° 28' 20,391"" N";5,130024;60,472331;291058055;Bjørnhollia;DNT Oslo og Omegn;betjent;https://ut.no/hytte/101110/bjrnhollia;61,8840823;10,0119584
1547;Aukra;Møre og Romsdal;NO3;3 729;61;876; 155 340,48 ; nynorsk ;full av energi;Ein tydeleg medspelar;"6° 53' 8,229"" E";"62° 48' 43,047"" N";6,885619;62,811957;292351473;Mustadkroken;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/mustadkroken;59,9720259;10,3716819
1576;Aure;Møre og Romsdal;NO3;3 416;641;712; 178 728,33 ; nøytral ;;Ein tydeleg medspelar;"8° 29' 38,788"" E";"63° 15' 25,040"" N";8,494108;63,256956;301159257;Svartskogkoia;Hamar og Hedemarken Turistforening;ubetjent;https://ut.no/hytte/svartskogkoia;60,8369901;11,4660816
4641;Aurland;Vestland;NO5;1 830;1468;448; 81 598,67 ; nynorsk ;;0;"7° 14' 22,599"" E";"60° 51' 30,072"" N";7,239611;60,858353;309020349;Eiksetra;DNT Drammen og Omegn;betjent;https://ut.no/hytte/10678/eiksetra;59,8192082;10,1276927
4625;Austevoll;Vestland;NO5;5 367;117;1259; 223 680,78 ; nynorsk ;;0;"5° 10' 57,617"" E";"60° 3' 6,977"" N";5,182671;60,051938;316624011;Innerdalshytta;Kristiansund og Nordmøre Turistforening;selvbetjent;https://ut.no/hytte/10940;62,7219005;8,7764311
4632;Austrheim;Vestland;NO5;2 916;58;706; 129 703,79 ; nynorsk ;;0;"4° 55' 44,759"" E";"60° 47' 1,359"" N";4,9291;60,783711;331256834;Hovdehytta;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/hovdehytta;59,8458944;10,3576549
1554;Averøy;Møre og Romsdal;NO3;5 989;176;1309; 216 448,02 ; nøytral ;En god forbindelse;Ein tydeleg medspelar;"7° 32' 57,941"" E";"63° 0' 55,995"" N";7,549428;63,015554;339326264;Blåkollkoia;Troms Turlag;ubetjent;https://ut.no/hytte/blaakollkoia;69,6809402;19,20878
5532;Balsfjord;Troms;NO4;5 551;1497;1147; 263 221,39 ; bokmål ;;Vilt, vakkert og vått;"19° 15' 22,686"" E";"69° 14' 45,696"" N";19,256302;69,246027;339326265;Skarvassbu;Troms Turlag;selvbetjent;https://ut.no/hytte/skarvassbu;69,6380678;19,2011094
4012;Bamble;Telemark;NO1;14 347;304;3010; 505 006,55 ; nøytral ;Stadig bedre tradisjoner og nye utfordringer;Visjonar: vær modig, vær imøtekommende, vær troverdig;"9° 31' 57,333"" E";"59° 0' 46,706"" N";9,532593;59,012974;339398252;Nedrefosshytta;Troms Turlag;ubetjent;https://ut.no/hytte/nedrefosshytta;69,3208625;21,9691124
5520;Bardu;Troms;NO4;3 992;2704;1068; 161 264,57 ; nøytral ;;Vilt, vakkert og vått;"18° 53' 35,913"" E";"68° 39' 49,633"" N";18,893309;68,663787;339405682;Gappohytta;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/gappohytta;69,0529755;20,2541688
1839;Beiarn;Nordland;NO4;1 056;1222;143; 78 663,22 ; bokmål ;for fellesskap;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"14° 39' 30,481"" E";"66° 53' 11,247"" N";14,658467;66,886458;339405688;Rostahytta;DNT Oslo og Omegn;ubetjent;https://ut.no/hytte/rostahytta;68,939377;20,0268506
4601;Bergen;Vestland;NO5;292 280;465;83638; 8 428 228,21 ; nøytral ;;0;"5° 23' 24,791"" E";"60° 21' 50,080"" N";5,39022;60,363911;339409572;Stordalsstua;Troms Turlag;ubetjent;https://ut.no/hytte/stordalsstua;68,5531041;18,1867093
5630;Berlevåg;Finnmark;NO4;885;1122;202; 77 494,87 ; bokmål ;heftig og begeistret;Der drømmer blir virkelighet;"29° 2' 3,646"" E";"70° 40' 51,252"" N";29,034346;70,680903;339409574;Hundalshytta;Narvik og Omegn Turistforening;ubetjent;https://ut.no/hytte/hundalshytta;68,3182446;17,8992917
1811;Bindal;Nordland;NO4;1 384;1266;214; 88 533,19 ; bokmål ;;Mitt Nordland – mi framtid Verdiar: Profesjonalitet, openheit, tillit og lojalitet;"12° 34' 42,188"" E";"65° 6' 41,817"" N";12,578386;65,111616;339409576;Storsteinshytta;Narvik og Omegn Turistforening;ubetjent;https://ut.no/hytte/storsteinshytta;68,1990361;17,9633871
